udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,product_code,type_match,temp_diff,power_proxy,tool_wear_group,tool_wear_alert,failure_type_count,risk_score
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,L,1,10.0,58906.9,low,0,0,15.22
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,L,1,10.0,67687.2,low,0,0,17.52
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,M,1,10.0,48347.200000000004,low,0,0,14.16
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,H,1,10.0,63040.4,low,0,0,18.78
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,L,1,10.0,49099.200000000004,low,0,0,18.36
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,M,1,10.0,64138.8,low,0,0,21.84
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,M,1,10.0,58736.5,low,0,0,21.9
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,L,1,10.0,45227.4,low,0,0,20.36
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,L,1,10.0,45567.0,low,0,0,20.98
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,M,1,10.0,46801.700000000004,low,0,0,22.22
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,L,1,9.899999999999977,62350.0,low,0,0,26.58
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,L,1,9.899999999999977,51741.799999999996,low,0,0,25.16
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,M,1,10.0,70522.2,low,0,0,30.04
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,M,1,10.0,55597.49999999999,low,0,0,27.86
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,M,1,10.0,52325.0,low,0,0,27.98
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,L,1,9.900000000000034,49998.3,mid,0,0,29.72
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,L,1,10.0,67621.2,mid,0,0,32.88
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,L,1,10.099999999999966,46300.0,mid,0,0,29.82
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,L,1,10.0,41213.7,mid,0,0,29.74
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,L,1,10.0,63133.0,mid,0,0,34.52
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,M,1,10.0,58360.5,mid,0,0,35.3
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,L,1,9.899999999999977,62930.0,mid,0,0,37.06
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,L,1,9.899999999999977,49480.100000000006,mid,0,0,35.4
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,L,1,9.899999999999977,70082.5,mid,0,0,39.68
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,M,1,10.0,70059.59999999999,mid,0,0,40.16
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,H,1,9.900000000000034,53006.700000000004,mid,0,0,38.52
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,L,1,9.800000000000011,53605.200000000004,mid,0,0,40.78
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,L,1,9.800000000000011,42120.0,mid,0,0,39.26
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,H,1,9.900000000000034,65206.5,mid,0,0,44.28
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,M,1,9.899999999999977,59171.0,mid,0,0,45.48
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,M,1,9.800000000000011,62263.4,mid,0,0,47.14
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,L,1,9.800000000000011,49392.0,mid,0,0,45.84
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,L,1,9.800000000000011,65396.700000000004,mid,0,0,49.9
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,L,1,9.800000000000011,53332.4,mid,0,0,48.38
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,L,1,9.800000000000011,52767.0,mid,0,0,48.96
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,M,1,9.800000000000011,47966.700000000004,mid,0,0,48.78
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,L,1,9.800000000000011,59706.9,mid,0,0,52.5
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,L,1,9.800000000000011,64055.100000000006,mid,0,0,54.1
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,L,1,9.800000000000011,64189.600000000006,mid,0,0,54.2
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,L,1,9.800000000000011,66417.0,mid,0,0,56.9
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,L,1,9.800000000000011,67096.4,mid,0,0,56.24
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,L,1,9.800000000000011,50773.799999999996,mid,0,0,54.24
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,L,1,9.700000000000045,50232.00000000001,mid,0,0,55.58
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,L,1,9.600000000000023,80404.5,mid,0,0,62.02
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,L,1,9.700000000000045,65704.5,mid,0,0,60.04
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,L,1,9.600000000000023,61258.200000000004,mid,0,0,59.24
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,L,1,9.600000000000023,53473.7,mid,0,0,59.18
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,L,1,9.599999999999966,60540.3,mid,0,0,61.34
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,L,1,9.599999999999966,48114.9,mid,0,0,59.46
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,M,1,9.699999999999989,62251.200000000004,mid,0,0,63.38
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,M,1,9.699999999999989,70928.0,mid,0,0,65.86
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,L,1,9.599999999999966,72557.0,mid,0,0,67.72
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,M,1,9.699999999999989,48763.5,mid,0,0,63.64
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,H,1,9.800000000000011,64894.00000000001,mid,0,0,68.3
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,L,1,9.900000000000034,71724.09999999999,mid,0,0,72.24
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,H,1,9.800000000000011,71580.59999999999,mid,0,0,71.84
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,L,1,9.800000000000011,70754.4,high,0,0,75.12
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,L,1,9.800000000000011,54547.1,high,0,0,71.98
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,L,1,9.800000000000011,54348.8,high,0,0,72.6
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,M,1,9.799999999999955,50139.6,high,0,0,72.0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,H,1,9.799999999999955,71053.5,high,0,0,77.66
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,M,1,9.799999999999955,58978.4,high,0,0,78.04
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,L,1,9.899999999999977,50836.8,high,0,0,77.5
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,H,1,9.899999999999977,58193.200000000004,high,0,0,78.8
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,L,1,10.0,60751.5,high,0,0,81.62
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,M,1,10.0,66192.0,high,0,0,84.0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,L,1,9.900000000000034,58772.7,high,0,0,83.56
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,L,1,9.900000000000034,60719.4,high,0,0,84.92
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,M,1,9.800000000000011,55008.8,high,0,0,84.68
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,M,1,9.800000000000011,64944.0,high,0,0,86.56
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,L,1,9.800000000000011,49950.0,high,0,0,84.96
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,L,1,9.800000000000011,55313.600000000006,high,0,0,87.6
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,H,1,9.800000000000011,39342.6,high,0,0,85.12
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,M,1,9.700000000000045,68770.0,high,1,0,92.34
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,H,1,9.800000000000011,64293.0,high,1,0,93.06
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,M,1,9.800000000000011,59960.0,high,1,0,94.36
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,L,1,9.800000000000011,69137.0,high,1,0,96.96
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,L,1,9.800000000000011,77817.40000000001,high,1,1,150.5
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,L,1,9.800000000000011,73847.59999999999,high,1,1,149.62
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,L,1,9.800000000000011,56303.0,low,0,0,9.06
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,M,1,9.800000000000011,64298.399999999994,low,0,0,11.52
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,M,1,9.800000000000011,62784.0,low,0,0,12.68
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,L,1,9.899999999999977,45058.0,low,0,0,10.38
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,H,1,9.800000000000011,52551.200000000004,low,0,0,12.48
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,H,1,9.900000000000034,62548.2,low,0,0,16.56
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,L,1,9.900000000000034,89275.9,low,0,1,72.44
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,L,1,9.900000000000034,77893.8,low,0,0,22.6
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,M,1,9.800000000000011,56350.0,low,0,0,18.56
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,L,1,9.900000000000034,74269.59999999999,low,0,0,22.94
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,M,1,9.899999999999977,40019.200000000004,low,0,0,17.74
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,M,1,9.800000000000011,53616.700000000004,low,0,0,21.5
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,L,1,9.900000000000034,76139.8,low,0,0,27.64
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,L,1,9.900000000000034,60117.0,low,0,0,25.48
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,L,1,9.900000000000034,56144.600000000006,low,0,0,24.52
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,L,1,10.0,42543.2,low,0,0,22.68
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,L,1,10.0,72087.2,low,0,0,29.24
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,L,1,10.100000000000023,64939.2,low,0,0,29.98
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,L,1,10.100000000000023,73602.5,low,0,0,30.8
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,H,1,10.100000000000023,44140.799999999996,low,0,0,26.46
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,M,1,10.099999999999966,64550.200000000004,mid,0,0,33.24
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,L,1,10.099999999999966,60439.50000000001,mid,0,0,32.96
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,L,1,10.0,51010.200000000004,mid,0,0,31.72
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,L,1,10.0,55237.200000000004,mid,0,0,34.04
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,L,1,10.199999999999989,72856.0,mid,0,0,38.44
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,L,1,10.199999999999989,59434.9,mid,0,0,36.66
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,L,1,10.199999999999989,53961.600000000006,mid,0,0,35.56
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,M,1,10.099999999999966,66792.59999999999,mid,0,0,38.3
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,L,1,10.199999999999989,73702.3,mid,0,0,40.82
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,L,1,10.199999999999989,57643.600000000006,mid,0,0,38.56
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,H,1,10.199999999999989,72416.4,mid,0,0,42.8
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,H,1,10.199999999999989,58058.8,mid,0,0,41.36
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,M,1,10.300000000000011,28654.6,mid,0,1,88.6
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,L,1,10.199999999999989,62333.7,mid,0,0,46.22
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,H,1,10.300000000000011,70884.0,mid,0,0,48.36
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,M,1,10.200000000000045,62454.299999999996,mid,0,0,48.62
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,L,1,10.300000000000011,55580.0,mid,0,0,48.66
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,L,1,10.200000000000045,67494.3,mid,0,0,51.86
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,L,1,10.200000000000045,56315.0,mid,0,0,50.24
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,L,1,10.199999999999989,64890.00000000001,mid,0,0,52.28
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,M,1,10.100000000000023,58405.200000000004,mid,0,0,51.96
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,L,1,10.100000000000023,56471.0,mid,0,0,53.6
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,L,1,10.100000000000023,57104.799999999996,mid,0,0,53.38
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,M,1,10.100000000000023,71232.0,mid,0,0,58.22
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,L,1,10.199999999999989,56797.7,mid,0,0,55.9
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,M,1,10.300000000000011,86254.7,mid,0,1,111.8
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,L,1,10.200000000000045,58389.700000000004,mid,0,0,58.18
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,L,1,10.200000000000045,64988.0,mid,0,0,60.44
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,L,1,10.300000000000011,54980.3,mid,0,0,59.68
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,L,1,10.199999999999989,53392.5,mid,0,0,60.02
