udi,product_id,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,product_code,type_match,temp_diff,power_proxy,type_L,type_M,tool_wear_group_mid,tool_wear_group_high
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,L,1,10.599999999999966,74632.8,True,False,False,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,M,1,10.599999999999966,61092.6,False,True,False,False
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,M,1,10.5,64296.0,False,True,False,False
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,H,1,10.399999999999977,71177.0,False,False,False,False
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,M,1,10.400000000000034,53040.0,False,True,True,False
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,H,1,10.400000000000034,58712.50000000001,False,False,True,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,L,1,10.5,64959.99999999999,True,False,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,M,1,10.400000000000034,48536.7,False,True,True,False
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,L,1,10.399999999999977,45180.6,True,False,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,M,1,10.399999999999977,58225.299999999996,False,True,True,False
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,L,1,10.5,43361.3,True,False,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,L,1,10.399999999999977,58968.0,True,False,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,H,1,10.299999999999955,44550.600000000006,False,False,True,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,L,1,10.299999999999955,63603.8,True,False,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,L,1,10.399999999999977,50959.3,True,False,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,M,1,10.399999999999977,64539.8,False,True,True,False
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,L,1,10.399999999999977,45849.0,True,False,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,L,1,10.399999999999977,68537.7,True,False,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,L,1,10.400000000000034,54112.5,True,False,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,M,1,10.300000000000011,54097.3,False,True,True,False
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,M,1,10.399999999999977,70567.2,False,True,True,False
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,M,1,10.300000000000011,58022.700000000004,False,True,True,False
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,L,1,10.300000000000011,56408.8,True,False,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,H,1,10.300000000000011,69915.3,False,False,True,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,L,1,10.300000000000011,70875.0,True,False,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,L,1,10.300000000000011,61834.799999999996,True,False,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,L,1,10.300000000000011,69494.4,True,False,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,M,1,10.300000000000011,67168.8,False,True,True,False
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,H,1,10.399999999999977,66542.0,False,False,True,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,M,1,10.300000000000011,69920.0,False,True,True,False
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,L,1,10.300000000000011,73109.90000000001,True,False,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,M,1,10.300000000000011,47549.4,False,True,True,False
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,L,1,10.300000000000011,65653.4,True,False,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,H,1,10.399999999999977,76807.5,False,False,True,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,M,1,10.300000000000011,62269.200000000004,False,True,True,False
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,L,1,10.200000000000045,13160.599999999999,True,False,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,L,1,10.200000000000045,75926.7,True,False,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,H,1,10.199999999999989,65568.59999999999,False,False,True,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,L,1,10.300000000000011,54931.5,True,False,False,True
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,L,1,10.300000000000011,50899.100000000006,True,False,False,True
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,L,1,10.300000000000011,61538.4,True,False,False,True
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,L,1,10.300000000000011,62624.799999999996,True,False,False,True
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,L,1,10.300000000000011,60973.899999999994,True,False,False,True
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,M,1,10.199999999999989,48999.5,False,True,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,L,1,10.300000000000011,74963.2,True,False,False,True
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,L,1,10.300000000000011,73271.8,True,False,False,True
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,M,1,10.199999999999989,60814.4,False,True,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,L,1,10.199999999999989,41884.1,True,False,False,True
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,M,1,10.100000000000023,46930.799999999996,False,True,False,True
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,L,1,10.100000000000023,58787.8,True,False,False,True
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,L,1,10.100000000000023,62869.4,True,False,False,True
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,M,1,10.0,48187.299999999996,False,True,False,True
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,H,1,10.099999999999966,64650.6,False,False,False,True
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,L,1,10.099999999999966,49474.799999999996,True,False,False,True
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,L,1,10.100000000000023,92637.0,True,False,False,True
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,M,1,10.100000000000023,43482.4,False,True,False,True
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,L,1,10.200000000000045,66066.0,True,False,False,True
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,L,1,10.200000000000045,60783.6,True,False,False,True
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,L,1,10.100000000000023,55720.0,True,False,False,True
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,L,1,10.100000000000023,51712.299999999996,True,False,False,True
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,L,1,10.099999999999966,64399.3,True,False,False,True
77,L47256,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,L,1,10.099999999999966,69981.9,True,False,False,True
78,L47257,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,L,1,10.099999999999966,60091.49999999999,True,False,False,True
79,L47258,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,L,1,10.099999999999966,71997.0,True,False,False,False
80,L47259,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,L,1,10.099999999999966,53135.799999999996,True,False,False,False
81,H29494,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,H,1,10.0,72105.5,False,False,False,False
82,L47261,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,L,1,10.0,68875.0,True,False,False,False
83,L47262,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,L,1,10.0,59282.399999999994,True,False,False,False
84,L47263,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,L,1,10.0,58906.9,True,False,False,False
85,L47264,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,L,1,10.0,67687.2,True,False,False,False
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,M,1,10.0,48347.200000000004,False,True,False,False
87,H29500,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,H,1,10.0,63040.4,False,False,False,False
88,L47267,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,L,1,10.0,49099.200000000004,True,False,False,False
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,M,1,10.0,64138.8,False,True,False,False
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,M,1,10.0,58736.5,False,True,False,False
91,L47270,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,L,1,10.0,45227.4,True,False,False,False
92,L47271,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,L,1,10.0,45567.0,True,False,False,False
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,M,1,10.0,46801.700000000004,False,True,False,False
94,L47273,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,L,1,9.899999999999977,62350.0,True,False,False,False
95,L47274,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,L,1,9.899999999999977,51741.799999999996,True,False,False,False
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,M,1,10.0,70522.2,False,True,False,False
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,M,1,10.0,55597.49999999999,False,True,False,False
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,M,1,10.0,52325.0,False,True,False,False
99,L47278,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,L,1,9.900000000000034,49998.3,True,False,True,False
100,L47279,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,L,1,10.0,67621.2,True,False,True,False
101,L47280,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,L,1,10.099999999999966,46300.0,True,False,True,False
102,L47281,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,L,1,10.0,41213.7,True,False,True,False
103,L47282,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,L,1,10.0,63133.0,True,False,True,False
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,M,1,10.0,58360.5,False,True,True,False
105,L47284,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,L,1,9.899999999999977,62930.0,True,False,True,False
106,L47285,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,L,1,9.899999999999977,49480.100000000006,True,False,True,False
107,L47286,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,L,1,9.899999999999977,70082.5,True,False,True,False
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,M,1,10.0,70059.59999999999,False,True,True,False
109,H29522,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,H,1,9.900000000000034,53006.700000000004,False,False,True,False
110,L47289,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,L,1,9.800000000000011,53605.200000000004,True,False,True,False
111,L47290,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,L,1,9.800000000000011,42120.0,True,False,True,False
112,H29525,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,H,1,9.900000000000034,65206.5,False,False,True,False
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,M,1,9.899999999999977,59171.0,False,True,True,False
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,M,1,9.800000000000011,62263.4,False,True,True,False
115,L47294,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,L,1,9.800000000000011,49392.0,True,False,True,False
116,L47295,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,L,1,9.800000000000011,65396.700000000004,True,False,True,False
117,L47296,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,L,1,9.800000000000011,53332.4,True,False,True,False
118,L47297,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,L,1,9.800000000000011,52767.0,True,False,True,False
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,M,1,9.800000000000011,47966.700000000004,False,True,True,False
120,L47299,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,L,1,9.800000000000011,59706.9,True,False,True,False
121,L47300,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,L,1,9.800000000000011,64055.100000000006,True,False,True,False
122,L47301,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,L,1,9.800000000000011,64189.600000000006,True,False,True,False
123,L47302,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,L,1,9.800000000000011,66417.0,True,False,True,False
124,L47303,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,L,1,9.800000000000011,67096.4,True,False,True,False
125,L47304,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,L,1,9.800000000000011,50773.799999999996,True,False,True,False
126,L47305,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,L,1,9.700000000000045,50232.00000000001,True,False,True,False
127,L47306,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,L,1,9.600000000000023,80404.5,True,False,True,False
128,L47307,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,L,1,9.700000000000045,65704.5,True,False,True,False
129,L47308,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,L,1,9.600000000000023,61258.200000000004,True,False,True,False
130,L47309,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,L,1,9.600000000000023,53473.7,True,False,True,False
131,L47310,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,L,1,9.599999999999966,60540.3,True,False,True,False
132,L47311,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,L,1,9.599999999999966,48114.9,True,False,True,False
133,M14992,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,M,1,9.699999999999989,62251.200000000004,False,True,True,False
134,M14993,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,M,1,9.699999999999989,70928.0,False,True,True,False
135,L47314,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,L,1,9.599999999999966,72557.0,True,False,True,False
136,M14995,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,M,1,9.699999999999989,48763.5,False,True,True,False
137,H29550,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,H,1,9.800000000000011,64894.00000000001,False,False,True,False
138,L47317,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,L,1,9.900000000000034,71724.09999999999,True,False,True,False
139,H29552,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,H,1,9.800000000000011,71580.59999999999,False,False,True,False
140,L47319,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,L,1,9.800000000000011,70754.4,True,False,False,True
141,L47320,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,L,1,9.800000000000011,54547.1,True,False,False,True
142,L47321,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,L,1,9.800000000000011,54348.8,True,False,False,True
143,M15002,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,M,1,9.799999999999955,50139.6,False,True,False,True
144,H29557,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,H,1,9.799999999999955,71053.5,False,False,False,True
145,M15004,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,M,1,9.799999999999955,58978.4,False,True,False,True
146,L47325,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,L,1,9.899999999999977,50836.8,True,False,False,True
147,H29560,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,H,1,9.899999999999977,58193.200000000004,False,False,False,True
148,L47327,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,L,1,10.0,60751.5,True,False,False,True
149,M15008,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,M,1,10.0,66192.0,False,True,False,True
150,L47329,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,L,1,9.900000000000034,58772.7,True,False,False,True
151,L47330,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,L,1,9.900000000000034,60719.4,True,False,False,True
152,M15011,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,M,1,9.800000000000011,55008.8,False,True,False,True
153,M15012,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,M,1,9.800000000000011,64944.0,False,True,False,True
154,L47333,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,L,1,9.800000000000011,49950.0,True,False,False,True
155,L47334,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,L,1,9.800000000000011,55313.600000000006,True,False,False,True
156,H29569,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,H,1,9.800000000000011,39342.6,False,False,False,True
157,M15016,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,M,1,9.700000000000045,68770.0,False,True,False,True
158,H29571,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,H,1,9.800000000000011,64293.0,False,False,False,True
159,M15018,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,M,1,9.800000000000011,59960.0,False,True,False,True
160,L47339,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,L,1,9.800000000000011,69137.0,True,False,False,True
161,L47340,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,L,1,9.800000000000011,77817.40000000001,True,False,False,True
162,L47341,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,L,1,9.800000000000011,73847.59999999999,True,False,False,True
163,L47342,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,L,1,9.800000000000011,56303.0,True,False,False,False
164,M15023,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,M,1,9.800000000000011,64298.399999999994,False,True,False,False
165,M15024,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,M,1,9.800000000000011,62784.0,False,True,False,False
166,L47345,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,L,1,9.899999999999977,45058.0,True,False,False,False
167,H29580,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,H,1,9.800000000000011,52551.200000000004,False,False,False,False
168,H29581,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,H,1,9.900000000000034,62548.2,False,False,False,False
169,L47348,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,L,1,9.900000000000034,89275.9,True,False,False,False
170,L47349,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,L,1,9.900000000000034,77893.8,True,False,False,False
171,M15030,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,M,1,9.800000000000011,56350.0,False,True,False,False
172,L47351,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,L,1,9.900000000000034,74269.59999999999,True,False,False,False
173,M15032,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,M,1,9.899999999999977,40019.200000000004,False,True,False,False
174,M15033,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,M,1,9.800000000000011,53616.700000000004,False,True,False,False
175,L47354,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,L,1,9.900000000000034,76139.8,True,False,False,False
176,L47355,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,L,1,9.900000000000034,60117.0,True,False,False,False
177,L47356,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,L,1,9.900000000000034,56144.600000000006,True,False,False,False
178,L47357,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,L,1,10.0,42543.2,True,False,False,False
179,L47358,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,L,1,10.0,72087.2,True,False,False,False
180,L47359,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,L,1,10.100000000000023,64939.2,True,False,False,False
181,L47360,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,L,1,10.100000000000023,73602.5,True,False,False,False
182,H29595,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,H,1,10.100000000000023,44140.799999999996,False,False,False,False
183,M15042,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,M,1,10.099999999999966,64550.200000000004,False,True,True,False
184,L47363,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,L,1,10.099999999999966,60439.50000000001,True,False,True,False
185,L47364,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,L,1,10.0,51010.200000000004,True,False,True,False
186,L47365,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,L,1,10.0,55237.200000000004,True,False,True,False
187,L47366,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,L,1,10.199999999999989,72856.0,True,False,True,False
188,L47367,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,L,1,10.199999999999989,59434.9,True,False,True,False
189,L47368,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,L,1,10.199999999999989,53961.600000000006,True,False,True,False
190,M15049,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,M,1,10.099999999999966,66792.59999999999,False,True,True,False
191,L47370,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,L,1,10.199999999999989,73702.3,True,False,True,False
192,L47371,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,L,1,10.199999999999989,57643.600000000006,True,False,True,False
193,H29606,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,H,1,10.199999999999989,72416.4,False,False,True,False
194,H29607,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,H,1,10.199999999999989,58058.8,False,False,True,False
195,M15054,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,M,1,10.300000000000011,28654.6,False,True,True,False
196,L47375,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,L,1,10.199999999999989,62333.7,True,False,True,False
197,H29610,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,H,1,10.300000000000011,70884.0,False,False,True,False
198,M15057,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,M,1,10.200000000000045,62454.299999999996,False,True,True,False
199,L47378,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,L,1,10.300000000000011,55580.0,True,False,True,False
200,L47379,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,L,1,10.200000000000045,67494.3,True,False,True,False
201,L47380,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,L,1,10.200000000000045,56315.0,True,False,True,False
202,L47381,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,L,1,10.199999999999989,64890.00000000001,True,False,True,False
203,M15062,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,M,1,10.100000000000023,58405.200000000004,False,True,True,False
204,L47383,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,L,1,10.100000000000023,56471.0,True,False,True,False
205,L47384,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,L,1,10.100000000000023,57104.799999999996,True,False,True,False
206,M15065,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,M,1,10.100000000000023,71232.0,False,True,True,False
207,L47386,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,L,1,10.199999999999989,56797.7,True,False,True,False
208,M15067,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,M,1,10.300000000000011,86254.7,False,True,True,False
209,L47388,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,L,1,10.200000000000045,58389.700000000004,True,False,True,False
210,L47389,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,L,1,10.200000000000045,64988.0,True,False,True,False
211,L47390,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,L,1,10.300000000000011,54980.3,True,False,True,False
212,L47391,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,L,1,10.199999999999989,53392.5,True,False,True,False
213,H29626,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,H,1,10.300000000000011,71097.59999999999,False,False,True,False
214,L47393,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,L,1,10.300000000000011,62231.4,True,False,True,False
215,M15074,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,M,1,10.300000000000011,58951.9,False,True,True,False
216,L47395,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,L,1,10.300000000000011,62384.399999999994,True,False,True,False
217,L47396,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,L,1,10.300000000000011,57411.7,True,False,True,False
218,L47397,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,L,1,10.199999999999989,52582.4,True,False,True,False
219,L47398,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,L,1,10.300000000000011,55130.700000000004,True,False,True,False
220,M15079,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,M,1,10.199999999999989,66250.8,False,True,True,False
221,L47400,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,L,1,10.199999999999989,74623.2,True,False,False,True
222,H29635,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,H,1,10.100000000000023,44396.1,False,False,False,True
223,L47402,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,L,1,10.200000000000045,58680.0,True,False,False,True
224,L47403,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,L,1,10.200000000000045,53973.6,True,False,False,True
225,L47404,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,L,1,10.300000000000011,46411.200000000004,True,False,False,True
226,L47405,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,L,1,10.199999999999989,73275.59999999999,True,False,False,True
227,L47406,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,L,1,10.099999999999966,65386.8,True,False,False,True
228,L47407,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,L,1,10.199999999999989,55557.9,True,False,False,True
